id,value
id_0,6.3
id_1,17.895
id_2,27.135
id_3,6.73
id_4,28.67
id_5,22.385
id_6,22.43
id_7,30.33
id_8,18.665
id_9,56.015
id_10,14.895
id_11,12.48
id_12,60.505
id_13,53.955
id_14,21.17
id_15,11.1
id_16,28.99
id_17,68.255
id_18,5.265
id_19,15.685
id_20,43.16
id_21,68.715
id_22,8.295
id_23,18.31
id_24,12.005
id_25,39.105
id_26,12.56
id_27,71.175
id_28,8.295
id_29,58.96
id_30,20.465
id_31,8.1
id_32,2.75
id_33,31.93
id_34,30.105
id_35,34.07
id_36,42.53
id_37,30.275
id_38,42.005
id_39,38.93
id_40,6.145
id_41,35.41
id_42,35.71
id_43,52.735
id_44,12.505
id_45,37.995
id_46,24.5
id_47,10.85
id_48,26.035
id_49,28.955
id_50,20.16
id_51,6.28
id_52,26.22
id_53,53.67
id_54,15.405
id_55,34.49
id_56,29.91
id_57,22.815
id_58,60.9
id_59,19.5
id_60,17.315
id_61,40.445
id_62,15.39
id_63,53.46
id_64,16.65
id_65,17.895
id_66,11.825
id_67,4.245
id_68,46.98
id_69,31.13
id_70,22.115
id_71,34.885
id_72,63.01
id_73,5.905
id_74,14.815
id_75,7.42
id_76,40.52
id_77,16.425
id_78,28.46
id_79,20.335
id_80,21.065
id_81,37.36
id_82,21.81
id_83,82.83
id_84,34.89
id_85,30.7
id_86,24.32
id_87,29.085
id_88,22.955
id_89,21.12
id_90,32.165
id_91,38.79
id_92,5.415
id_93,36.98
id_94,54.935
id_95,15.08
id_96,37.49
id_97,12.86
id_98,29.645
id_99,4.66
id_100,18.73
id_101,25.845
id_102,14.54
id_103,15.225
id_104,20.34
id_105,41.14
id_106,28.08
id_107,9.24
id_108,12.215
id_109,74.88
id_110,50.245
id_111,12.69
id_112,28.605
id_113,12.865
id_114,15.73
id_115,23.455
id_116,23.89
id_117,6.695
id_118,16.15
id_119,20.695
id_120,73.725
id_121,23.21
id_122,36.765
id_123,26.25
id_124,10.605
id_125,46.795
id_126,13.105
id_127,18.19
id_128,29.495
id_129,59.235
id_130,21.22
id_131,23.845
id_132,58.395
id_133,15.85
id_134,16.315
id_135,6.64
id_136,10.11
id_137,54.64
id_138,13.835
id_139,8.41
id_140,26.945
id_141,26.805
id_142,44.6
id_143,34.055
id_144,17.35
id_145,30.09
id_146,10.42
id_147,53.825
id_148,22.38
id_149,43.29
id_150,10.3
id_151,7.695
id_152,25.305
id_153,8.97
id_154,19.03
id_155,39.99
id_156,7.88
id_157,37.82
id_158,10.505
id_159,18.605
id_160,38.375
id_161,17.075
id_162,11.735
id_163,6.565
id_164,49.405
id_165,27.345
id_166,6.32
id_167,13.535
id_168,56.205
id_169,13.875
id_170,62.07
id_171,33.525
id_172,23.99
id_173,19.88
id_174,57.845
id_175,19.155
id_176,23.28
id_177,36.43
id_178,10.665
id_179,33.675
id_180,19.685
id_181,13.145
id_182,56.555
id_183,49.83
id_184,18.49
id_185,35.765
id_186,26.45
id_187,69.425
id_188,11.155
id_189,53.44
id_190,35.785
id_191,16.845
id_192,30.36
id_193,5.95
id_194,26.525
id_195,2.1
id_196,37.685
id_197,13.39
id_198,20.7
id_199,66.765
id_200,26.24
id_201,19.765
id_202,66.885
id_203,9.68
id_204,9.445
id_205,11.78
id_206,8.7
id_207,2.83
id_208,88.39
id_209,16.41
id_210,13.29
id_211,19.33
id_212,38.245
id_213,33.95
id_214,20.7
id_215,34.955
id_216,69.5
id_217,2.13
id_218,14.08
id_219,30.735
id_220,17.67
id_221,13.57
id_222,87.17
id_223,11.96
id_224,16.785
id_225,53.495
id_226,13.515
id_227,17.96
id_228,8.165
id_229,9.12
id_230,41.51
id_231,11.44
id_232,54.88
id_233,41.215
id_234,20.4
id_235,46.865
id_236,65.94
id_237,35.8
id_238,5.58
id_239,16.99
